,energy beam,slam,recover,iron defence,flykick
0,45,149,247,325,12
1,76,132,402,447,19
2,105,220,403,439,14
3,67,216,238,369,14
4,0,328,194,344,13
5,0,208,298,441,50
6,0,290,210,458,21
7,6,121,223,474,54
8,33,267,252,301,16
9,0,292,308,321,6
10,126,249,207,226,4
11,1,481,523,221,5
12,0,241,617,258,42
13,21,425,443,261,40
14,0,516,387,219,40
15,0,454,353,292,47
16,1,546,431,194,30
17,0,514,427,227,0
18,0,605,408,207,1
19,0,777,459,229,0
20,0,771,452,247,0
21,0,818,397,219,0
22,0,808,401,229,3
23,0,824,376,217,0
24,0,766,481,223,0
25,0,908,343,219,0
26,0,881,305,251,0
27,0,948,309,187,0
28,0,822,252,172,0
29,0,916,295,184,0
30,0,956,308,185,0
31,0,965,300,184,0
32,0,947,292,187,0
33,0,967,296,180,0
34,0,884,282,254,0
35,0,916,301,206,0
36,0,953,305,189,0
37,0,838,255,215,0
38,0,831,270,177,0
39,0,920,315,187,0
40,0,882,340,199,0
41,0,912,341,192,0
42,0,835,304,184,0
43,0,892,332,195,0
44,0,944,335,191,0
45,0,886,307,183,0
46,0,945,336,189,0
47,0,865,388,196,0
48,0,885,389,196,0
49,0,886,389,195,0
