,energy beam,slam,recover,iron defence,flykick
0,128,10,68,91,13
1,308,20,93,36,12
2,148,112,232,90,5
3,230,35,188,88,28
4,171,41,474,169,18
5,135,138,509,327,3
6,271,49,368,250,3
7,91,66,194,145,0
8,135,93,369,204,10
9,167,157,299,272,12
10,169,225,357,252,9
11,198,119,471,252,5
12,81,242,737,305,2
13,22,207,788,348,0
14,1,352,712,367,0
15,26,141,860,365,0
16,9,187,891,383,0
17,12,174,925,359,0
18,0,397,665,408,0
19,33,412,576,362,0
20,9,377,546,359,4
21,21,198,685,320,7
22,10,456,616,318,0
23,0,194,851,425,0
24,3,289,821,357,0
25,0,258,670,448,4
26,6,262,743,459,0
27,43,238,714,403,0
28,34,314,686,349,0
29,0,600,534,336,0
30,42,189,707,438,3
31,37,144,751,452,3
32,7,191,784,488,0
33,0,197,743,529,1
34,0,150,893,427,0
35,19,123,840,488,0
36,0,260,728,388,4
37,1,154,808,507,0
38,16,147,831,476,0
39,0,119,802,549,0
40,0,124,744,602,0
41,0,94,777,599,0
42,3,91,792,584,0
43,0,99,771,600,0
44,0,94,716,660,0
45,3,110,707,650,0
46,4,98,778,590,0
47,0,106,776,588,0
48,0,115,761,594,0
49,0,94,753,623,0
50,0,91,745,633,1
51,0,92,756,621,1
52,0,92,763,615,0
53,0,87,768,615,0
54,0,96,780,594,0
55,6,82,776,606,0
56,0,90,759,621,0
57,0,91,759,620,0
58,0,89,755,626,0
59,0,83,727,586,0
60,0,86,769,615,0
61,0,94,807,569,0
62,0,106,719,645,0
63,0,85,733,652,0
64,0,85,713,672,0
65,59,76,729,606,0
66,0,97,826,547,0
67,0,92,772,606,0
68,0,86,756,628,0
69,0,90,712,668,0
70,0,80,744,632,14
71,0,92,768,610,0
72,0,90,778,602,0
73,0,88,735,647,0
74,0,118,790,562,0
75,0,127,788,555,0
76,0,129,796,545,0
77,0,118,782,570,0
78,0,113,728,629,0
79,0,120,730,620,0
80,0,111,765,594,0
81,0,128,743,599,0
82,0,116,756,598,0
83,0,100,787,583,0
84,0,104,778,588,0
85,0,120,750,600,0
86,0,117,788,565,0
87,0,120,750,600,0
88,0,120,750,600,0
89,0,116,759,595,0
90,0,120,750,600,0
91,0,112,774,584,0
92,0,116,770,584,0
93,0,120,750,600,0
94,0,116,761,593,0
95,0,120,750,600,0
96,0,120,750,600,0
97,1,115,755,597,2
98,0,113,774,583,0
99,20,133,742,575,0
